headline,time_stamp (yyyymmdd hhmmss)
Netflix's stock on course to open at an all-time high,20150416 112236
Netflix's stock soars 13% premarket after Q1 results late Wednesday,20150416 112216
Blackstone's stock rises 1.2% in premarket trade after Q1 results,20150416 110626
Philip Morris FactSet full-year EPS consensus $4.26,20150416 110623
Blackstone Q1 total AUM $310.45 bln vs. $271.75 bln,20150416 110556
Blackstone Q1 FactSet EPS consensus $1.04,20150416 110526
Philip Morris raises full-year EPS outlook to $4.32 to $4.42,20150416 110516
Blackstone Q1 EPS $1.05 vs. 40 cents a year ago,20150416 110508
Philip Morris Q1 FactSet revenue consensus $6.2 bln,20150416 110429
Blackstone Q1 revenue $2.51 bln vs. $1.51 bln a year ago,20150416 110424
