headline,time_stamp (yyyymmdd hhmmss)
Australia March unemployment falls to 6.1% vs. 6.3%,20150416 013118
"Shanghai Composite down 0.7% at 4,055.92",20150416 013027
"Hong Kong H-shares index down 0.4% at 14,415.37",20150416 013028
"Hong Kong's Hang Seng opens down 0.2% at 27,557.29",20150416 013026
"Australia's S&P/ASX 200 up 0.8% at 5,953.00 early",20150416 003536
"Japan's Topix up 0.1% at 1,590.99 in early moves",20150416 000151
"Japan's Nikkei Average opens little changed at 19,862.48",20150416 000100
Party City reportedly prices IPO at $17/share; top of $15-$17 range,20150415 221811
Virtu Financial prices IPO at $19 a share: report,20150415 215307
"Panera shares rally 10% on buyback, refranchising ",20150415 214229
