headline,time_stamp (yyyymmdd hhmmss)
"Germany's DAX opens 0.1% lower at 12,225 ",20150416 070143
"U.K's FTSE 100 opens 0.2% higher at 7,111",20150416 070117
Stoxx Europe 600 opens 0.1% higher at 414.18 ,20150416 070058
"Netflix price target lifted to $665 from $500, keeps overweight: Pacific Crest",20150416 064623
Australia March unemployment falls to 6.1% vs. 6.3%,20150416 013118
"Shanghai Composite down 0.7% at 4,055.92",20150416 013027
"Hong Kong H-shares index down 0.4% at 14,415.37",20150416 013028
"Hong Kong's Hang Seng opens down 0.2% at 27,557.29",20150416 013026
"Australia's S&P/ASX 200 up 0.8% at 5,953.00 early",20150416 003536
"Japan's Topix up 0.1% at 1,590.99 in early moves",20150416 000151
