headline,time_stamp (yyyymmdd hhmmss)
Crude oil trades 1.5% higher at $54.10 after IEA report,20150415 080412
Nokia rises 4.2% after $16.6 billion deal to take over Alcatel-Lucent ,20150415 071040
Alcatel-Lucent shares fall 7.4% after $16.6 billion buyout by Nokia ,20150415 070719
Intel price target lifted to $40 from $38 at RBC,20150415 070607
Intel lifted to outperform from sector perform at RBC,20150415 070607
"France's CAC opens 0.2% higher at 5,230.80 ",20150415 070403
"Germany's DAX opens 0.1% higher at 12,242.96",20150415 070231
"U.K's FTSE 100 opens flat at 7,075.86",20150415 070206
Stoxx Europe 600 opens 0.2% higher at 412.37,20150415 070128
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
